"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"ACH_BALANCE_FOREVER_LOST","Balance Forever Lost","สมดุลสูญหายตลอดกาล","Fight against the Guardian Twins simultaneously and emerge victorious.","ต่อสู้กับผู้พิทักษ์แฝดพร้อมกันและชนะ"
"ACH_BLACKCAT_DEJAVU","Déjà vu","เดจาวู","Pet the cat.","ลูบแมว"
"ACH_BURNING_LOVE","Burning Love","ความรักลุกโชน","Acquire Pyrana's Love.","ได้รับความรักของไพราน่า"
"ACH_CHAOTIC_GOOD","Chaotic Good","โกลาหลดี","Use Legendary Chaos a total of 5 times.","ใช้ความโกลาหลระดับตำนานรวม 5 ครั้ง"
"ACH_DESPERATE_HERO","Desperate Hero","วีรบุรุษสิ้นหวัง","Defeat 30 enemies in a row while your Health is below 40%.","เอาชนะศัตรู 30 ตัวติดต่อกันขณะที่พลังชีวิตต่ำกว่า 40%"
"ACH_ELECTRIC_TYPE","Electric Type","ประเภทไฟฟ้า","Deal 1,500 or more damage in a single hit.","สร้างความเสียหาย 1,500 ขึ้นไปในการโจมตีครั้งเดียว"
"ACH_ELEMENTALS_101","Introduction to Elements","บทนำสู่ธาตุ","Defeat enemies affected by all 4 elements 70 times.","เอาชนะศัตรูที่ได้รับผลกระทบจากธาตุทั้ง 4 รวม 70 ครั้ง"
"ACH_EMPTY_CANVAS","Empty Canvas","ผืนผ้าใบว่างเปล่า","Enter the Pure White Dream 2 times in total.","เข้าสู่ความฝันขาวบริสุทธิ์รวม 2 ครั้ง"
"ACH_ETERNAL_REST","Eternal Rest","การพักผ่อนนิรันดร์","Deliver a total of 50 finishing blows to Soul Swordsmen using basic attacks.","ทำการโจมตีจบศัตรูนักดาบวิญญาณด้วยการโจมตีพื้นฐานรวม 50 ครั้ง"
"ACH_EVERYONE_LETS_NOT_PANIC","Keep Calm and Carry On","สงบสติอารมณ์และทำต่อไป","Defeat Heroic Bosses 8 times while your Health is below 25%.","เอาชนะบอสวีรบุรุษ 8 ครั้งขณะที่พลังชีวิตต่ำกว่า 25%"
"ACH_FIGHTING_COLD_WITH_COLD","Fight Fire with Fire","ใช้ไฟสู้ไฟ","Defeat the Snowy Mountain King while having 4 Cold damage Memories.","เอาชนะราชาภูเขาหิมะขณะมีความทรงจำความเสียหายน้ำแข็ง 4"
"ACH_FLEXIBLE_DIET","Flexible Diet","อาหารยืดหยุ่น","During a single adventure, let your Health fall below 40% and then bring it back up to at least 75% 10 times.","ในการผจญภัยครั้งเดียว ปล่อยให้พลังชีวิตลดลงต่ำกว่า 40% แล้วฟื้นกลับขึ้นอย่างน้อย 75% รวม 10 ครั้ง"
"ACH_FOUR_OF_A_KIND","Four of a Kind","สี่แบบเดียวกัน","Enter the Pure White Dream while having 4 Memories of the same type.","เข้าสู่ความฝันขาวบริสุทธิ์ขณะมีความทรงจำประเภทเดียวกัน 4"
"ACH_GOD_PROTECTS_ME","God Protects Me","พระเจ้าปกป้องฉัน","In a single adventure, visit locations occupied by Hunters 4 times while having a Hunt Threat Level of 5.","ในการผจญภัยครั้งเดียว เยี่ยมชมสถานที่ที่นักล่าครอบครอง 4 ครั้งขณะมีระดับภัยคุกคามการล่า 5"
"ACH_HEAVIER_THAN_ATLAS","Heavier than Atlas","หนักกว่าแอตลาส","Reach 3,000 Maximum Health.","ถึงพลังชีวิตสูงสุด 3,000"
"ACH_IN_CARNAGE_I_BLOOM","In Carnage I Bloom","ในการสังหารฉันผลิบาน","Empower Memories that deal Dark damage 20 times in a single adventure.","เสริมพลังความทรงจำที่สร้างความเสียหายมืด 20 ครั้งในการผจญภัยครั้งเดียว"
