"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"Gem_C_CamillasGiftRuined","Camilla's Gift (Broken)","ของขวัญคามิลลา (แตกหัก)","This gem was destroyed after taking too much damage.","อัญมณีนี้ถูกทำลายหลังจากได้รับความเสียหายมากเกินไป"
"Gem_C_Charcoal","Essence of Charcoal","แก่นแห่งถ่าน","When this Memory hits an enemy, it fires a charcoal shard, dealing 60% damage. If the target is already burning, it deals 100% Fire damage instead.","เมื่อความทรงจำนี้โจมตีศัตรู จะยิงเศษถ่านสร้างความเสียหาย 60% หากเป้าหมายกำลังลุกไหม้อยู่ จะสร้างความเสียหายไฟ 100% แทน"
"Gem_C_Confidence","Essence of Confidence","แก่นแห่งความมั่นใจ","Damage dealt by this Memory to nearby enemies is increased by 40%.","ความเสียหายที่ความทรงจำนี้สร้างต่อศัตรูใกล้เคียงเพิ่มขึ้น 40%"
"Gem_C_Efficiency","Essence of Efficiency","แก่นแห่งประสิทธิภาพ","This Memory gains 36 Memory Haste, reducing its cooldown by 26%.","ความทรงจำนี้ได้รับความเร็วความทรงจำ 36 ลดคูลดาวน์ 26%"
"Gem_C_Guidance","Essence of Guidance","แก่นแห่งการนำทาง","This Memory's healing is increased by 40%. 30% of the excess healing from this Memory is converted into a Barrier that lasts for 2 seconds.","การฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 40% การฟื้นฟูส่วนเกิน 30% จะถูกแปลงเป็นเกราะป้องกันที่คงอยู่ 2 วินาที"
"Gem_C_Lethality","Essence of Lethality","แก่นแห่งความรุนแรง","This Memory's damage against enemies with 70% or more Health is increased by 60%.","ความเสียหายของความทรงจำนี้ต่อศัตรูที่มีพลังชีวิต 70% ขึ้นไปเพิ่มขึ้น 60%"
"Gem_C_Love","Essence of Love","แก่นแห่งความรัก","When this Memory restores Health or grants a Barrier to an ally, their Movement Speed and Attack Speed increase by 16% for 2 seconds.The effect is reduced by 50% when applied to yourself.","เมื่อความทรงจำนี้ฟื้นฟูพลังชีวิตหรือให้เกราะป้องกันแก่พันธมิตร ความเร็วเคลื่อนที่และความเร็วโจมตีของพวกเขาเพิ่มขึ้น 16% เป็นเวลา 2 วินาที เอฟเฟกต์ลดลง 50% เมื่อใช้กับตัวเอง"
"Gem_C_Quicksilver","Essence of Quicksilver","แก่นแห่งปรอท","Casting this Memory or dealing Fire damage with it increases Movement Speed by 30%, gradually returning to normal over 2.5 seconds.","การใช้ความทรงจำนี้หรือสร้างความเสียหายไฟด้วยมัน เพิ่มความเร็วเคลื่อนที่ 30% ค่อยๆ กลับสู่ปกติภายใน 2.5 วินาที"
"Gem_C_Regeneration","Essence of Regeneration","แก่นแห่งการฟื้นฟู","If this Memory is cast in combat, it restores your Health by 41 over 7 seconds.","หากความทรงจำนี้ถูกใช้ในการต่อสู้ จะฟื้นฟูพลังชีวิต 41 ตลอด 7 วินาที"
"Gem_C_Responsibility","Essence of Responsibility","แก่นแห่งความรับผิดชอบ","Every 10 seconds, this Memory's cast is empowered. 1.2 seconds after the empowered cast, it deals 400% damage divided among all enemies hit by that cast.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง หลังจากใช้แบบเสริมพลัง 1.2 วินาที จะสร้างความเสียหาย 400% แบ่งให้ศัตรูทั้งหมดที่โดนการใช้นั้น"
"Gem_C_Sharp","Essence of Sharpness","แก่นแห่งความคม","Casting this Memory fires 5 arrows that deal 90% damage to random enemies.","การใช้ความทรงจำนี้ยิงลูกศร 5 ดอกสร้างความเสียหาย 90% ต่อศัตรูสุ่ม"
"Gem_C_Shatter","Essence of Shatter","แก่นแห่งการแตกสลาย","Every 10 seconds, the cast of this Memory is empowered. Damage dealt to enemies by the empowered cast is increased by 40%. If it deals Light damage, it is increased by 72% instead.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง ความเสียหายต่อศัตรูจากการใช้แบบเสริมพลังเพิ่มขึ้น 40% หากสร้างความเสียหายแสง จะเพิ่มขึ้น 72% แทน"
"Gem_C_Sulfur","Essence of Sulfur","แก่นแห่งกำมะถัน","All damage dealt by this Memory is increased by 15% and converted to Fire damage. Your Fire damage over time is increased by 50%.","ความเสียหายทั้งหมดจากความทรงจำนี้เพิ่มขึ้น 15% และแปลงเป็นความเสียหายไฟ ความเสียหายไฟต่อเนื่องของคุณเพิ่มขึ้น 50%"
"Gem_C_Talc","Essence of Talc","แก่นแห่งแร่แทลก์","Every 10 seconds, the cast of this Memory is empowered. The initial damage dealt to each enemy by the empowered cast is increased by 400%.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง ความเสียหายเริ่มต้นต่อศัตรูแต่ละตัวจากการใช้แบบเสริมพลังเพิ่มขึ้น 400%"
