"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"Gem_C_CamillasGiftRuined","Camilla's Gift (Broken)","ของขวัญคามิลลา (แตกหัก)","This gem was destroyed after taking too much damage.","อัญมณีนี้ถูกทำลายหลังจากได้รับความเสียหายมากเกินไป"
"Gem_C_Charcoal","Essence of Charcoal","แก่นแห่งถ่าน","When this Memory <color=yellow>hits</color> an enemy, it fires a charcoal shard, dealing <sprite=1><color=#16D7FF>60%</color><sprite=5> <color=yellow>damage</color>. If the target is already <color=yellow>burning</color>, it deals <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>Fire damage</color> instead.","เมื่อความทรงจำนี้โจมตีศัตรู จะยิงเศษถ่านสร้างความเสียหาย 60% หากเป้าหมายกำลังลุกไหม้อยู่ จะสร้างความเสียหายไฟ 100% แทน"
"Gem_C_Confidence","Essence of Confidence","แก่นแห่งความมั่นใจ","Damage dealt by this Memory to nearby enemies is increased by 40%<sprite=5>.","ความเสียหายที่ความทรงจำนี้สร้างต่อศัตรูใกล้เคียงเพิ่มขึ้น 40%"
"Gem_C_Efficiency","Essence of Efficiency","แก่นแห่งประสิทธิภาพ","This Memory gains 36<sprite=5> <color=yellow>Memory Haste</color>, reducing its <color=yellow>cooldown</color> by 26%<sprite=5>.","ความทรงจำนี้ได้รับความเร็วความทรงจำ 36 ลดคูลดาวน์ 26%"
"Gem_C_Guidance","Essence of Guidance","แก่นแห่งการนำทาง","This Memory's <color=yellow>healing</color> is increased by 40%<sprite=5>. 30% of the excess healing from this Memory is converted into a <color=yellow>Barrier</color> that lasts for 2 seconds.","การฟื้นฟูของความทรงจำนี้เพิ่มขึ้น 40% การฟื้นฟูส่วนเกิน 30% จะถูกแปลงเป็นเกราะป้องกันที่คงอยู่ 2 วินาที"
"Gem_C_Lethality","Essence of Lethality","แก่นแห่งความรุนแรง","This Memory's damage against enemies with 70% or more Health is increased by 60%<sprite=5>.","ความเสียหายของความทรงจำนี้ต่อศัตรูที่มีพลังชีวิต 70% ขึ้นไปเพิ่มขึ้น 60%"
"Gem_C_Love","Essence of Love","แก่นแห่งความรัก","When this Memory <color=yellow>restores</color> <color=yellow>Health</color> or grants a <color=yellow>Barrier</color> to an ally, their <color=yellow>Movement Speed</color> and <color=yellow>Attack Speed</color> increase by 16%<sprite=5> for 2 seconds.The effect is reduced by 50% when applied to yourself.","เมื่อความทรงจำนี้ฟื้นฟูพลังชีวิตหรือให้เกราะป้องกันแก่พันธมิตร ความเร็วเคลื่อนที่และความเร็วโจมตีของพวกเขาเพิ่มขึ้น 16% เป็นเวลา 2 วินาที เอฟเฟกต์ลดลง 50% เมื่อใช้กับตัวเอง"
"Gem_C_Quicksilver","Essence of Quicksilver","แก่นแห่งปรอท","<color=yellow>Casting</color> this Memory or dealing <color=yellow>Fire damage</color> with it increases <color=yellow>Movement Speed</color> by 30%<sprite=5>, gradually returning to normal over 2.5 seconds.","การใช้ความทรงจำนี้หรือสร้างความเสียหายไฟด้วยมัน เพิ่มความเร็วเคลื่อนที่ 30% ค่อยๆ กลับสู่ปกติภายใน 2.5 วินาที"
"Gem_C_Regeneration","Essence of Regeneration","แก่นแห่งการฟื้นฟู","If this Memory is <color=yellow>cast</color> <color=yellow>in combat</color>, it <color=yellow>restores</color> your Health by 41<sprite=5> over 7 seconds.","หากความทรงจำนี้ถูกใช้ในการต่อสู้ จะฟื้นฟูพลังชีวิต 41 ตลอด 7 วินาที"
"Gem_C_Responsibility","Essence of Responsibility","แก่นแห่งความรับผิดชอบ","Every 10 seconds, this Memory's <color=yellow>cast</color> is <color=yellow>empowered</color>. 1.2 seconds after the <color=yellow>empowered cast</color>, it deals <sprite=2><color=#FF8A2D>400%</color><sprite=5> <color=yellow>damage</color> divided among all enemies hit by that cast.","ทุก 10 วินาที การใช้ความทรงจำนี้จะถูกเสริมพลัง หลังจากใช้แบบเสริมพลัง 1.2 วินาที จะสร้างความเสียหาย 400% แบ่งให้ศัตรูทั้งหมดที่โดนการใช้นั้น"
