"Key","Name_EN","Name_TH","ShortDesc_EN","ShortDesc_TH","Desc_EN","Desc_TH","Lore_EN","Lore_TH","AchievementName_EN","AchievementName_TH","AchievementDesc_EN","AchievementDesc_TH"
"St_C_BackStep","Backstep","ถอยฉากระเบิด","Retreat and drop bombs","ถอยฉากและวางระเบิด","Leap backward and drop 3 shock bombs at the original location, each dealing 168% damage and stunning for 1 seconds.","กระโดดถอยฉากและทิ้งระเบิดไฟฟ้า 3 ลูกไว้ที่ตำแหน่งเดิม แต่ละลูกสร้างความเสียหาย 168% และทำให้ศัตรูติดสถานะมึนงง 1 วินาที",,"","","","",""
"St_C_BeamOfLight","Beam of Light","ลำแสงชำระล้าง","Enemy Light damage and ally healing","สร้างความเสียหายแสงและรักษาพันธมิตร","Channels a beam at the enemy over 1.7 seconds, dealing 507% Light damage per second and healing the nearby ally with the lowest Health percentage by 73% per second.","ร่ายลำแสงใส่ศัตรูเป็นเวลา 1.7 วินาที สร้างความเสียหายธาตุแสง 507% ต่อวินาที และฟื้นฟูพลังชีวิตพันธมิตรใกล้เคียงที่มีเลือดน้อยที่สุด 73% ต่อวินาที","-- Experiment Log, Year 3, Day 20 of Month 1 [NEWLINE] -- Author: Carrier Bayonet [NEWLINE] -- Research Subject: Beam of Light [NEWLINE]  [NEWLINE]  [NEWLINE] Subject: Young widow. Severe burns from face to shoulders. Infected wound on cheekbone. [NEWLINE] Result: Cheekbone infection visibly reduced. Burns appear slightly faded. [NEWLINE]  [NEWLINE] Subject: Boy. Open wounds on back from whipping. [NEWLINE] Result: Back wounds healing well. Boy claims his ""thieving habit"" is now ""cured"" and demands to be released. [NEWLINE]  [NEWLINE] Subject: Jeff (the infamous murderer). Gunshot wounds to both ankles and wrists. [NEWLINE] Result: Complained of intense head pain, then a small ""pop"" sound was heard before he passed out. [NEWLINE] Note: Still breathing but remains unconscious. [NEWLINE]  [NEWLINE]  [NEWLINE] P.S. His Majesty King Rojit has provided 10 additional death row inmates. Much research remains on this beam, but one thing is certain: this power of dreams will save many lives.","-- บันทึกการทดลอง ปีที่ 3 วันที่ 20 เดือน 1 [NEWLINE] -- ผู้บันทึก: Carrier Bayonet [NEWLINE] -- หัวข้อวิจัย: ลำแสงชำระล้าง [NEWLINE]  [NEWLINE]  [NEWLINE] ตัวอย่างทดลอง: หญิงม่ายวัยสาว มีแผลไฟไหม้รุนแรงตั้งแต่ใบหน้าถึงไหล่ และแผลติดเชื้อที่โหนกแก้ม [NEWLINE] ผลการทดลอง: การติดเชื้อที่โหนกแก้มลดลงอย่างชัดเจน รอยแผลไหม้ดูจางลงเล็กน้อย [NEWLINE]  [NEWLINE] ตัวอย่างทดลอง: เด็กชาย มีแผลเปิดที่หลังจากการถูกเฆี่ยน [NEWLINE] ผลการทดลอง: แผลที่หลังสมานตัวดี เด็กชายอ้างว่า ""นิสัยขี้ขโมย"" ของเขา ""หายขาดแล้ว"" และร้องขอให้ปล่อยตัว [NEWLINE]  [NEWLINE] ตัวอย่างทดลอง: เจฟ (ฆาตกรชื่อกระฉ่อน) มีแผลถูกยิงที่ข้อเท้าและข้อมือทั้งสองข้าง [NEWLINE] ผลการทดลอง: ตัวอย่างบ่นว่าปวดศีรษะอย่างรุนแรง จากนั้นมีเสียงดัง ""โพละ"" เบาๆ ก่อนที่เขาจะหมดสติไป [NEWLINE] หมายเหตุ: ยังมีลมหายใจ แต่ไม่รู้สึกตัว [NEWLINE]  [NEWLINE]  [NEWLINE] ปล. องค์ราชา Rojit ได้ส่งนักโทษประหารมาเพิ่มอีก 10 คน การวิจัยลำแสงนี้ยังต้องดำเนินต่อไปอีกมาก แต่สิ่งหนึ่งที่ข้าพเจ้ามั่นใจ: พลังแห่งความฝันนี้จักช่วยชีวิตผู้คนได้มากมาย","","","",""
"St_C_CorrosiveTrails","Corrosive Trails","เส้นทางกัดกร่อน","Leave poisonous smoke","ทิ้งหมอกพิษไว้เบื้องหลัง","For 4 seconds, leave toxic gas in your path that poisons enemies for 3 seconds, while increasing your Movement Speed by 15%. Poisoned enemies take 100% damage per second.","ทิ้งไอพิษไว้ตามเส้นทางที่วิ่งผ่านเป็นเวลา 4 วินาที ทำให้ศัตรูติดพิษนาน 3 วินาที พร้อมเพิ่มความเร็วเคลื่อนที่ให้ตนเอง 15% (ศัตรูที่ติดพิษจะได้รับความเสียหาย 100% ต่อวินาที)","","","","","",""
"St_C_DarkBolt","Dark Bolt","ศรทมิฬ","Fires an arrow that deals Dark damage","ยิงลูกศรสร้างความเสียหายธาตุมืด","Fires a dark bolt that deals 175% Dark damage to enemies and triggers attack effects. Pierces up to 2 enemies.","ยิงศรทมิฬสร้างความเสียหายธาตุมืด 175% แก่ศัตรูและแสดงผลเอฟเฟกต์การโจมตีพิเศษ (ลูกศรทะลุศัตรูได้สูงสุด 2 ตัว)","","","","","",""
"St_C_DarkSpear","Dark Spear","หอกทมิฬ","Close-range Dark damage","สร้างความเสียหายธาตุมืดระยะประชิด","Pierces enemies in front, dealing 210% Dark damage, triggering attack effects, and pulling them to the center.","แทงหอกทะลวงศัตรูด้านหน้า สร้างความเสียหายธาตุมืด 210% แสดงผลเอฟเฟกต์การโจมตีพิเศษ และรวบศัตรูเข้ามาตรงกลาง","","","","","",""
"St_C_FlashFreeze","Flash Freeze","เยือกแข็งฉับพลัน","Area Cold Damage, Root","สร้างความเสียหายน้ำแข็งและตรึงร่าง","Unleashes Cold energy forward, dealing 130% Cold Damage to enemies and granting yourself and allies a Shield of 90% that lasts for 3 seconds. If an enemy is already affected by Cold, the Damage is increased by 100% and they are Rooted for 1.5 seconds. [NEWLINE]  [NEWLINE] Charges are fully replenished all at once.","ปลดปล่อยคลื่นความเย็นไปเบื้องหน้า สร้างความเสียหายน้ำแข็ง 130% พร้อมมอบโล่ป้องกัน 90% แก่ตนเองและพันธมิตรนาน 3 วินาที หากศัตรูติดสถานะผิดปกติจากความเย็นอยู่แล้ว ความเสียหายจะเพิ่มขึ้น 100% และศัตรูจะถูกตรึงร่าง 1.5 วินาที [NEWLINE]  [NEWLINE] (รีเซ็ตจำนวนครั้งการใช้สกิลทันที)",,"","","","",""
"St_C_GlacialStomp","Glacial Stomp","บาทาเหมันต์กัมปนาท","Area Cold damage, Barrier","สร้างความเสียหายน้ำแข็งและสร้างเกราะ","Stomps the ground around you, stunning enemies for 1.5 seconds and dealing 230% Cold damage. Gain a Barrier that lasts for 3 seconds and absorbs 60% damage for each enemy hit.","กระทืบพื้นธรณีรอบกาย ทำให้ศัตรูติดสถานะมึนงง 1.5 วินาที และสร้างความเสียหายน้ำแข็ง 230% ผู้ใช้จะได้รับเกราะป้องกันนาน 3 วินาที (พลังป้องกันของเกราะเพิ่มขึ้น 60% ต่อจำนวนศัตรูที่ถูกโจมตี)",,"","","","",""
"St_C_Hemorrhage","Hemorrhage","โลหิตคร่ำครวญ","Empowers next attack to deal damage over time","เสริมพลังการโจมตีถัดไปให้สร้างความเสียหายต่อเนื่อง","Your next attack deals 460% damage over 1.2 seconds and reduces the target's Movement Speed by 70%.","การโจมตีครั้งถัดไปจะสร้างความเสียหาย 460% ต่อเนื่องเป็นเวลา 1.2 วินาที และลดความเร็วในการเคลื่อนที่ของเป้าหมายลง 70%",,"","","","",""
"St_C_IceBlock","Ice Shield","โล่น้ำแข็ง","Close-range Cold damage, ally Barrier, healing","สร้างความเสียหายน้ำแข็งระยะประชิด สร้างเกราะและรักษาพันธมิตร","Surrounds an ally with an ice shield, granting a 130% Barrier that lasts for 3 seconds. When the Barrier is destroyed, it deals 160% Cold damage to nearby enemies and restores 60% Health to the ally for each enemy hit.","ร่ายเกราะน้ำแข็งห่อหุ้มพันธมิตร มอบพลังป้องกัน 130% นาน 3 วินาที เมื่อเกราะถูกทำลายจะระเบิดสร้างความเสียหายน้ำแข็ง 160% แก่ศัตรูโดยรอบ และฟื้นฟูพลังชีวิต 60% ให้แก่มิตรตามจำนวนศัตรูที่โดนระเบิด",,"","","","",""
"St_C_IceClaw","Ice Claw","กรงเล็บเหมันต์","Close-range Cold damage, Health restore","สร้างความเสียหายน้ำแข็งระยะประชิดและดูดเลือด","Swing your claw forward to deal 140% Cold Damage to enemies and stun them for 0.5 seconds. You can swing once more to deal 264% Cold Damage and stun for 1 seconds. [NEWLINE]  [NEWLINE] When your claw hits an enemy, restore 12% Health based on the damage dealt.","ตวาดกรงเล็บไปเบื้องหน้า สร้างความเสียหายน้ำแข็ง 140% และสตันศัตรู 0.5 วินาที สามารถกดโจมตีซ้ำได้อีกครั้งเพื่อสร้างความเสียหาย 264% และสตัน 1 วินาที [NEWLINE]  [NEWLINE] เมื่อกรงเล็บสัมผัสศัตรู จะฟื้นฟูพลังชีวิต 12% จากความเสียหายที่ทำได้",,"","","","",""
"St_C_MagicSword","Teal Blade","ศาสตรามรกต","Front damage","สร้างความเสียหายด้านหน้า","Dash forward briefly and swing the Teal Blade, dealing damage to enemies in front. Deals the greater of 200% or 200%, and triggers attack effects if your Attack Damage is higher.","พุ่งตัวไปข้างหน้าและตวาดศาสตรามรกต สร้างความเสียหายแก่ศัตรูเบื้องหน้า 200% และแสดงผลเอฟเฟกต์การโจมตีพิเศษหากพลังโจมตีของคุณสูงกว่า","In the quiet dawn, [NEWLINE] when I visit the back garden of Highgate Manor, [NEWLINE] a memory rises, unbidden. [NEWLINE]  [NEWLINE] The cool air of the old training hall, still brushing against my cheek. [NEWLINE] My childhood self, casting only the smallest of shadows. [NEWLINE] Mother's voice, sharp as frost. [NEWLINE]  [NEWLINE] The Teal Blade. [NEWLINE] The family sword—strength and pride of House Verdesilver. [NEWLINE] Like a steadfast tree, straight and unwavering, [NEWLINE] Mother showed me the blade that day. [NEWLINE]  [NEWLINE] But my sword could not follow her teachings. [NEWLINE] The tip trembled like a leaf dancing in the wind, and my strength flowed away like water. [NEWLINE]  [NEWLINE] Isn't it ironic, Mother? [NEWLINE] The proud tree you fought so hard to protect has fallen and broken, [NEWLINE] while this worthless leaf, scattered by the wind, [NEWLINE] is the one that survived. [NEWLINE]  [NEWLINE] Now the family's pride is gone, the weight of the tree lifted... [NEWLINE] but I have no regrets. [NEWLINE]  [NEWLINE] All I wish for now is... [NEWLINE] to wield this blade as a nameless mist that has lost its teal, [NEWLINE] for the happiness of my younger sibling.","ในรุ่งสางอันเงียบสงัด [NEWLINE] ยามข้าเยือนสวนหลังคฤหาสน์ไฮเกต [NEWLINE] ความทรงจำหนึ่งพลันผุดขึ้นโดยมิได้รับเชิญ [NEWLINE]  [NEWLINE] สัมผัสเย็นเยือกแห่งโรงฝึกเก่าแก่ ยังคงลูบไล้ข้างแก้ม [NEWLINE] ตัวข้าในวัยเยาว์ ผู้มีเงาเพียงน้อยนิด [NEWLINE] และเสียงของท่านแม่ ที่บาดลึกราวน้ำค้างแข็ง [NEWLINE]  [NEWLINE] ศาสตรามรกต [NEWLINE] ดาบประจำตระกูล... พลังและศักดิ์ศรีแห่งบ้านเวอร์เดซิลเวอร์ [NEWLINE] ดั่งไม้ยืนต้นที่มั่นคง ตรงตระหง่านและไม่หวั่นไหว [NEWLINE] ท่านแม่แสดงดาบเล่มนั้นให้ข้าดูในวันนั้น [NEWLINE]  [NEWLINE] ทว่า... เพลงดาบของข้าไม่อาจดำเนินตามคำสอนของท่าน [NEWLINE] ปลายดาบข้าสั่นระริกราวใบไม้เริงระบำในสายลม และเรี่ยวแรงของข้าไหลออกไปดั่งสายน้ำ [NEWLINE]  [NEWLINE] มันช่างน่าขันใช่ไหมท่านแม่? [NEWLINE] ไม้ยืนต้นอันภาคภูมิที่ท่านสู้ปกป้องสุดชีวิต กลับต้องล้มครืนและหักโค่น [NEWLINE] ในขณะที่ใบไม้ไร้ค่าใบนี้... ที่ถูกลมพัดกระจัดกระจาย [NEWLINE] กลับเป็นเพียงสิ่งเดียวที่รอดชีวิต [NEWLINE]  [NEWLINE] บัดนี้ศักดิ์ศรีของตระกูลมลายสิ้น ภาระหนักอึ้งดั่งต้นไม้ถูกยกออก... [NEWLINE] แต่ข้าหาได้เสียใจไม่ [NEWLINE]  [NEWLINE] สิ่งเดียวที่ข้าปรารถนาในยามนี้ คือ... [NEWLINE] การได้กวัดแกว่งดาบนี้ในฐานะหมอกไร้นาม ที่สูญเสียสีมรกตไปแล้ว [NEWLINE] ...เพื่อความสุขของน้องข้า","","","",""
"St_C_MassProtection","Mass Protection","เขตแดนผู้พิทักษ์","Grants Area Barrier","สร้างเกราะป้องกันเป็นวงกว้าง","Grants a Barrier of 250% to nearby allies that dissipates over 1.5 seconds.","มอบเกราะป้องกัน 250% แก่พันธมิตรใกล้เคียง ซึ่งจะค่อยๆ จางหายไปภายใน 1.5 วินาที","Every time the Moonlight Council convenes, we extend this great barrier. It is a solemn act, signifying that the Society exists solely in the pursuit of truth, under the profound and absolute belief that we must not interfere in any affairs of the outside world. [NEWLINE]  [NEWLINE] Lately, however, I have felt a strange dissonance and a cold realization within this absolute silence. This perfect peace so thoroughly erases the cries of countless lives fading away outside, and our ""neutrality"" is merely a noble privilege gained at the cost of remaining silent before their suffering. [NEWLINE]  [NEWLINE] For some reason, I am reminded of that child's face. Aurena. I realize that the logic we used to block her ""dangerous"" inquiries bears an uncanny resemblance to the logic we now use with this barrier, shutting out the ""dangerous"" chaos of the world. [NEWLINE]  [NEWLINE] Are we truly ""protecting"" the truth? Or are we merely ""protecting"" ourselves from everything we have given up trying to understand? [NEWLINE]  [NEWLINE] I wonder if this sacred protection ultimately serves not our sublime neutrality, but our deepest cowardice. I still do not know the answer.","ทุกคราที่สภาจันทรคติเปิดการประชุม เราจะกางมหาปราการอันยิ่งใหญ่นี้ มันคือพิธีกรรมอันเคร่งขรึม เพื่อประกาศว่าภาคีดำรงอยู่เพียงเพื่อแสวงหาความจริง ภายใต้ความเชื่ออันลึกซึ้งและเด็ดขาดที่ว่า เราจักไม่แทรกแซงกิจการใดๆ ของโลกภายนอก [NEWLINE]  [NEWLINE] ทว่าระยะหลังมานี้ ข้าสัมผัสได้ถึงความย้อนแย้งประหลาดและการตระหนักรู้อันเยือกเย็นภายใต้ความเงียบงันนี้... ความสงบสุขที่สมบูรณ์แบบ ได้ลบเลือนเสียงกรีดร้องของชีวิตนับไม่ถ้วนที่ดับสูญอยู่ภายนอกจนหมดสิ้น และ ""ความเป็นกลาง"" ของเรา เป็นเพียงสิทธิพิเศษอันสูงส่ง ที่แลกมาด้วยการปิดปากเงียบต่อความทุกข์ทรมานของพวกเขา [NEWLINE]  [NEWLINE] ไม่รู้ด้วยเหตุใด ข้าพลันนึกถึงใบหน้าของเด็กคนนั้น... ออเรนา ข้าตระหนักได้ว่าตรรกะที่เราใช้ปิดกั้นคำถาม ""อันตราย"" ของเธอ ช่างเหมือนกับตรรกะที่เราใช้กับบาเรียนี้ในตอนนี้อย่างน่าขนลุก... นั่นคือการปิดกั้นความโกลาหล ""อันตราย"" ของโลกใบนี้ [NEWLINE]  [NEWLINE] เรากำลัง ""ปกป้อง"" ความจริงแน่หรือ? หรือเราเพียงแค่ ""ปกป้อง"" ตัวเองจากทุกสิ่งที่เราเลิกพยายามจะทำความเข้าใจ? [NEWLINE]  [NEWLINE] ข้าเริ่มสงสัยแล้วว่า การปกป้องอันศักดิ์สิทธิ์นี้ ท้ายที่สุดแล้วอาจไม่ได้มีไว้รับใช้ความเป็นกลางอันสูงส่ง... แต่รับใช้ความขี้ขลาดที่ฝังรากลึกที่สุดของเราเอง ข้าก็ยังมิอาจรู้คำตอบ","","","",""
"St_C_Pew","Pew","ปิ้ว!","Charged Fire shot","กระสุนเพลิงชาร์จยิง","Hold to charge a flame bullet. When fully charged, fire the bullet to deal 150%-400% Fire damage to all enemies hit, based on charge time. [NEWLINE]  [NEWLINE] Firing before full charge reduces the cooldown up to 80%. Charging for 1.35 seconds maximizes the projectile's width and damage.","กดค้างเพื่อรวบรวมพลังกระสุนเพลิง เมื่อชาร์จเต็มแล้วให้ปล่อยเพื่อยิง สร้างความเสียหายไฟ 150%-400% แก่ศัตรูทุกตัวที่ขวางหน้า (ความแรงขึ้นอยู่กับเวลาชาร์จ) [NEWLINE]  [NEWLINE] หากยิงก่อนชาร์จเต็มจะลดคูลดาวน์ลงสูงสุด 80% การชาร์จจนครบ 1.35 วินาทีจะทำให้กระสุนใหญ่ที่สุดและรุนแรงที่สุด",,"","","","",""
"St_C_PressurePoint","Pressure Point","ฝ่ามือสกัดจุด","Close-range damage, knockback","สร้างความเสียหายระยะประชิดและผลักกระแทก","Releases energy from the palm, dealing 180% damage and pushing back all enemies hit, stunning them for 1 seconds. If the target is Unstoppable or collides with a wall, deals an additional 504% damage.","ซัดพลังจากฝ่ามือ สร้างความเสียหาย 180% พร้อมผลักศัตรูทุกตัวให้กระเด็นถอยหลังและติดสตัน 1 วินาที หากเป้าหมายอยู่ในสถานะ 'ต้านทานการหยุดยั้ง' หรือกระเด็นไปชนกำแพง จะสร้างความเสียหายเพิ่มขึ้นถึง 504%",,"","","","",""
"St_C_Purgatory","Purgatory","ไฟชำระบาป","Area damage and restores ally Health","สร้างความเสียหายวงกว้างและฟื้นฟูพันธมิตร","Deals 280% damage to all enemies in the target location and restores a random ally for 45% Health per enemy hit. If the target is a boss, healing is tripled.","สร้างความเสียหาย 280% แก่ศัตรูทั้งหมดในบริเวณเป้าหมาย และฟื้นฟูพลังชีวิตให้พันธมิตรแบบสุ่ม 45% ต่อจำนวนศัตรูที่โดนโจมตี (หากเป้าหมายเป็นระดับบอส ผลการรักษาจะเพิ่มเป็น 3 เท่า)",,"","","","",""
"St_C_Sneeze","Sneeze","ฮัดชิ่ว!","Releases a powerful sneeze","ปล่อยจามสนั่นโลก","The Memory of a massive, refreshing sneeze. Releases a powerful sneeze forward. [NEWLINE] This Memory is completely useless.","ความทรงจำของการจามครั้งมโหฬารที่โล่งจมูกสุดๆ ปลดปล่อยการจามอันทรงพลังไปข้างหน้า [NEWLINE] (ความทรงจำนี้มันไร้ประโยชน์สิ้นดี)",,"","","","",""
