"Key","Name_EN","Name_TH","Desc_EN","Desc_TH","Lore_EN","Lore_TH"
"Se_Star_D_AbilityPower","Night Time","ยามค่ำคืน","Increases Ability Power by 2.","เพิ่มพลังความสามารถ 2",,""
"Se_Star_D_AttackDamage","Aggressive Stance","ท่าทีก้าวร้าว","Increases Attack Damage by 2.","เพิ่มความเสียหายโจมตี 2",,""
"Se_Star_D_AttackSpeed","Hurricane","พายุเฮอริเคน","Increases Attack Speed by 6%.","เพิ่มความเร็วโจมตี 6%",,""
"Se_Star_D_BossDamageAmp","Valiant Challenger","ผู้ท้าทายกล้าหาญ","Increases all damage dealt to Bosses by 10%.","เพิ่มความเสียหายทั้งหมดต่อบอส 10%",,""
"Se_Star_D_CritChance","Lucky Clover","ใบโคลเวอร์โชคดี","Increases Critical Strike Chance by 5%.","เพิ่มโอกาสคริติคอล 5%",,""
"Se_Star_D_CritDamage","Powerful Blow","การโจมตีทรงพลัง","Increases Critical Strike Damage by 15%.","เพิ่มความเสียหายคริติคอล 15%",,""
"Se_Star_D_DamageBonusOnAllElemental","Elementalist","นักธาตุวิทยา","All damage you deal to enemies affected by all 4 elements is increased by 18%.","ความเสียหายทั้งหมดต่อศัตรูที่ได้รับผลกระทบจากธาตุทั้ง 4 เพิ่มขึ้น 18%",,""
"Se_Star_D_DarkAmp","Corrupted Mind","จิตใจเสื่อมทราม","Your Dark damage against enemies exposed to Dark is increased by an additional 1.5% per stack.","ความเสียหายมืดต่อศัตรูที่โดนมืดเพิ่มขึ้นเพิ่มเติม 1.5% ต่อสแต็ก",,""
"Se_Star_D_FireAmp","Crimson Flame","เปลวไฟสีเลือดหมู","Increase Burn damage by 30%.","เพิ่มความเสียหายไหม้ 30%",,""
"Se_Star_D_LightAmp","Daylight","แสงกลางวัน","Your Light damage against enemies exposed to Light is increased by an additional 1.5% per stack.","ความเสียหายแสงต่อศัตรูที่โดนแสงเพิ่มขึ้นเพิ่มเติม 1.5% ต่อสแต็ก",,""
"Se_Star_D_LowerASHigherAD","Strength Enhancement","เสริมพลังกำลัง","Reduces Attack Speed by 20%. Increases Attack Damage by 8.","ลดความเร็วโจมตี 20% เพิ่มความเสียหายโจมตี 8",,""
"Se_Star_D_ScalingAbilityPower","Mature Mind","จิตใจเติบโต","Gain 2 Ability Power each time you reach levels 5, 10, 15, and 20.","ได้รับพลังความสามารถ 2 ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,""
"Se_Star_D_ScalingAttackDamage","Destructive Nature","ธรรมชาติทำลายล้าง","Gain 2 Attack Damage each time you reach levels 5, 10, 15, and 20.","ได้รับความเสียหายโจมตี 2 ทุกครั้งที่ถึงเลเวล 5, 10, 15 และ 20",,""
"Se_Star_D_ScalingAttackSpeedWithPenalty","Gathering Storm","พายุกำลังมา","Attack Speed is reduced by 10%. Attack Speed increases by 1% each time you level up.","ความเร็วโจมตีลดลง 10% ความเร็วโจมตีเพิ่มขึ้น 1% ทุกครั้งที่เลเวลอัพ",,""
"Se_Star_D_TempAbilityPower","Awakened Magic","เวทมนตร์ตื่นรู้","Increases Ability Power by 14 while completing the first 3 worlds.","เพิ่มพลังความสามารถ 14 ขณะผ่าน 3 โลกแรก",,""
"Se_Star_D_TempAttackDamage","Burning Bloodlust","กระหายเลือดลุกโชน","Increases Attack Damage by 14 until you complete the first 3 world.","เพิ่มความเสียหายโจมตี 14 จนกว่าจะผ่าน 3 โลกแรก",,""
"Se_Star_D_UltimateChargeSpeed","Ultimate Malice","ความพยาบาทสูงสุด","Increases Ultimate charge speed by 20%.","เพิ่มความเร็วชาร์จอัลติเมท 20%",,""
"Se_Star_I_DismantleReroll","Trading Fates","แลกเปลี่ยนโชคชะตา","The first time you Dismantle an Essence or Memory, it is replaced with a random item of the same rarity instead of being dismantled. Can trigger up to 1 times per world.","ครั้งแรกที่คุณรื้อถอนแก่นหรือความทรงจำ จะถูกแทนที่ด้วยไอเทมสุ่มความหายากเดียวกันแทนการรื้อถอน ทริกเกอร์ได้สูงสุด 1 ครั้งต่อโลก",,""
"Se_Star_I_AdditionalChaosChance","Primordial Chaos","ความโกลาหลดั้งเดิม","When Chaos is obtained as a reward, there is a 12% chance to gain one additional Chaos.","เมื่อได้รับความโกลาหลเป็นรางวัล มีโอกาส 12% ที่จะได้รับความโกลาหลเพิ่มเติม 1",,""
"Se_Star_I_DismantleBonus","Efficient Extraction","การสกัดอย่างมีประสิทธิภาพ","Increases the amount of Dream Dust gained from dismantling Memories or Essences by 7%.","เพิ่มจำนวนฝุ่นความฝันที่ได้จากการรื้อถอนความทรงจำหรือแก่น 7%",,""
