Key,Name_EN,Name_TH,Desc_EN,Desc_TH,RawDesc_EN,RawDesc_TH,Lore_EN,Lore_TH,Rarity,Tags,AchievementName_EN,AchievementName_TH,AchievementDesc_EN,AchievementDesc_TH
Gem_C_CamillasGiftRuined,Camilla's Gift (Broken),ของขวัญของคามิลล่า (แตกสลาย),This gem was destroyed after taking too much damage.,อัญมณีนี้ถูกทำลายลงหลังได้รับความเสียหายมากเกินไป,This gem was destroyed after taking too much damage.,อัญมณีนี้ถูกทำลายหลังจากได้รับความเสียหายมากเกินไป,,,Common,,,,,
Gem_C_Charcoal,Essence of Charcoal,แก่นถ่าน,"When this Memory <color=yellow>hits</color> an enemy, it fires a charcoal shard, dealing <sprite=1><color=#16D7FF>60%</color><sprite=5> <color=yellow>damage</color>. If the target is already <color=yellow>burning</color>, it deals <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>Fire damage</color> instead.","เมื่อ Memory นี้ <color=yellow>โจมตี</color> ศัตรู, จะยิงถ่านออกมา สร้าง <sprite=1><color=#16D7FF>60%</color><sprite=5> <color=yellow>ดาเมจ</color> หากเป้าหมายกำลัง <color=yellow>ติดไฟ</color> อยู่ จะสร้าง <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>ดาเมจไฟ</color> แทน","When this Memory <color=yellow>hits</color> an enemy, it fires a charcoal shard, dealing {0} <color=yellow>damage</color>. If the target is already <color=yellow>burning</color>, it deals {1} <color=yellow>Fire damage</color> instead.",เมื่อเมมโมรี่นี้ <color=yellow>โดน</color> ศัตรู มันจะยิงถ่านแตกออก ทำ <color=yellow>ความเสียหาย</color> {0} ถ้าเป้าหมายกำลัง <color=yellow>ไหม้</color> อยู่ มันจะทำ <color=yellow>ความเสียหายจากไฟ</color> {1} แทน,"A burnt lump once swallowed by soldiers in battle to cleanse their bodies of toxins.\n\nIn those desperate moments, it tasted like survival.",ก้อนที่ถูกเผาไหม้ซึ่งทหารเคยกลืนลงไประหว่างการต่อสู้เพื่อชำระล้างสารพิษออกจากร่างกาย\n\nในช่วงเวลาที่สิ้นหวังเหล่านั้น มันมีรสชาติเหมือนการอยู่รอด,Common,Fire,,,,
Gem_C_Confidence,Essence of Confidence,แก่นแท้แห่งความมั่นใจ,Damage dealt by this Memory to nearby enemies is increased by 40%<sprite=5>.,ดาเมจที่ Memory นี้สร้างแก่ศัตรูที่อยู่ใกล้เคียงเพิ่มขึ้น 40%<sprite=5>,Damage dealt by this Memory to nearby enemies is increased by {0}.,ความเสียหายที่ Memory นี้ทำต่อศัตรูที่อยู่ใกล้เคียงเพิ่มขึ้น {0},,,Common,Melee,,,,
Gem_C_Efficiency,Essence of Efficiency,แก่นแห่งความมีประสิทธิภาพ,"This Memory gains 36<sprite=5> <color=yellow>Memory Haste</color>, reducing its <color=yellow>cooldown</color> by 26%<sprite=5>.","ความทรงจำนี้ได้รับ 36<sprite=5> <color=yellow>ความเร็วความทรงจำ</color>, ลด <color=yellow>คูลดาวน์</color> ลง 26%<sprite=5>","This Memory gains {0} <color=yellow>Memory Haste</color>, reducing its <color=yellow>cooldown</color> by {1}.",Memory นี้ได้รับ {0} <color=yellow>เร่งความทรงจำ</color> ลด <color=yellow>คูลดาวน์</color> ลง {1},,,Common,,,,,
Gem_C_Guidance,Essence of Guidance,แก่นแท้แห่งการชี้นำ,This Memory's <color=yellow>healing</color> is increased by 40%<sprite=5>. 30% of the excess healing from this Memory is converted into a <color=yellow>Barrier</color> that lasts for 2 seconds.,การ<color=yellow>ฟื้นฟู</color>จาก Memory นี้เพิ่มขึ้น 40%<sprite=5> 30% ของการฟื้นฟูที่เกินมาจะถูกเปลี่ยนเป็น <color=yellow>บาเรีย</color> ที่คงอยู่ 2 วินาที,This Memory's <color=yellow>healing</color> is increased by {0}. {1} of the excess healing from this Memory is converted into a <color=yellow>Barrier</color> that lasts for {2} seconds.,การ<color=yellow>รักษา</color>ของ Memory นี้เพิ่มขึ้น {0} {1} ของการรักษาที่เกินจาก Memory นี้จะถูกแปลงเป็น <color=yellow>Barrier</color> ที่คงอยู่เป็นเวลา {2} วินาที,"Who decides what life truly is?\nWe may be born from the imagination of someone nameless,\nbut that does not make our existence any less real.\n\nYou gave us life,\nyet dismiss us as nothing more than illusions.\n\nIf that is how it must be, O creator,\nthen I will, by my own will, become the guide for all of ""us.""","ใครกันที่ตัดสินว่าชีวิตคืออะไรอย่างแท้จริง?\nเราอาจจะถือกำเนิดขึ้นจากจินตนาการของใครบางคนที่เราไม่รู้จักชื่อ\nแต่นั่นก็ไม่ได้ทำให้การมีอยู่ของเราเป็นเรื่องจริงน้อยลง\n\nท่านมอบชีวิตให้เรา\nแต่กลับปฏิเสธเราว่าเป็นแค่เพียงภาพลวงตา\n\nหากต้องเป็นเช่นนี้ ท่านผู้สร้างเอ๋ย\nถ้าอย่างนั้น ข้าจะด้วยเจตจำนงของข้าเอง เป็นผู้นำทางสำหรับ ""พวกเรา"" ทั้งหมด",Common,Heal;Shield,,,,
Gem_C_Lethality,Essence of Lethality,แก่นแท้แห่งความมรณะ,This Memory's damage against enemies with 70% or more Health is increased by 60%<sprite=5>.,ความเสียหายของความทรงจำนี้ต่อศัตรูที่มีพลังชีวิต 70% หรือมากกว่า เพิ่มขึ้น 60%<sprite=5>,This Memory's damage against enemies with {0} or more Health is increased by {1}.,ความเสียหายของ Memory นี้ต่อศัตรูที่มีพลังชีวิต {0} หรือมากกว่าจะเพิ่มขึ้น {1},,,Common,,,,,
Gem_C_Love,Essence of Love,แก่นรักอันศักดิ์สิทธิ์,"When this Memory <color=yellow>restores</color> <color=yellow>Health</color> or grants a <color=yellow>Barrier</color> to an ally, their <color=yellow>Movement Speed</color> and <color=yellow>Attack Speed</color> increase by 16%<sprite=5> for 2 seconds.The effect is reduced by 50% when applied to yourself.",เมื่อเมมโมรีนี้ <color=yellow>ฟื้นฟู</color> <color=yellow>พลังชีวิต</color> หรือมอบ <color=yellow>บาเรีย</color> ให้พันธมิตร <color=yellow>ความเร็วในการเคลื่อนที่</color> และ <color=yellow>ความเร็วในการโจมตี</color> ของพวกเขาจะเพิ่มขึ้น 16%<sprite=5> เป็นเวลา 2 วินาที ผลจะลดลง 50% เมื่อใช้กับตัวเอง,"When this Memory <color=yellow>restores</color> <color=yellow>Health</color> or grants a <color=yellow>Barrier</color> to an ally, their <color=yellow>Movement Speed</color> and <color=yellow>Attack Speed</color> increase by {0} for {1} seconds.The effect is reduced by {2} when applied to yourself.",เมื่อ Memory นี้ <color=yellow>ฟื้นฟู</color> <color=yellow>พลังชีวิต</color> หรือมอบ <color=yellow>โล่ป้องกัน</color> ให้กับพันธมิตร <color=yellow>ความเร็วในการเคลื่อนที่</color> และ <color=yellow>ความเร็วในการโจมตี</color> จะเพิ่มขึ้น {0} เป็นเวลา {1} วินาที เอฟเฟกต์จะลดลง {2} เมื่อใช้กับตัวเอง,"Merely an illusion, you say?\n...\n\nIs all of this just a pointless fantasy?\n\n...\n...\nNo.\n\nMy light, my love, Kiara.\nEternal guide of my soul.\nIt cannot be so.\nA reality without you has no meaning.\n\nWho dares distinguish between illusion and reality?\nThat line...\nShall vanish today.",เป็นเพียงภาพลวงตาอย่างนั้นหรือ?\n...\n\nทั้งหมดนี้เป็นแค่จินตนาการที่ไร้ความหมาย?\n\n...\n...\nไม่\n\nแสงสว่างของฉัน ที่รักของฉัน คิอาร่า\nผู้นำทางนิรันดร์แห่งจิตวิญญาณของฉัน\nมันจะเป็นเช่นนั้นไม่ได้\nความเป็นจริงที่ไม่มีเธออยู่ด้วยนั้นไม่มีความหมาย\n\nใครกันที่กล้าแยกแยะระหว่างภาพลวงตาและความเป็นจริง?\nเส้นแบ่งนั้น...\nจะหายไปในวันนี้,Common,Heal;Shield;Attack;Mobility,,,,
Gem_C_Quicksilver,Essence of Quicksilver,แก่นปรอทศักดิ์สิทธิ์,"<color=yellow>Casting</color> this Memory or dealing <color=yellow>Fire damage</color> with it increases <color=yellow>Movement Speed</color> by 30%<sprite=5>, gradually returning to normal over 2.5 seconds.",<color=yellow>ร่าย</color>ความทรงจำนี้ หรือสร้าง<color=yellow>ความเสียหายไฟ</color>ด้วยความทรงจำนี้ จะเพิ่ม<color=yellow>ความเร็วในการเคลื่อนที่</color> 30%<sprite=5> ซึ่งจะค่อยๆ ลดลงจนเป็นปกติใน 2.5 วินาที,"<color=yellow>Casting</color> this Memory or dealing <color=yellow>Fire damage</color> with it increases <color=yellow>Movement Speed</color> by {0}, gradually returning to normal over {1} seconds.",<color=yellow>ร่าย</color> Memory นี้ หรือสร้าง <color=yellow>ความเสียหายไฟ</color> ด้วย Memory นี้จะเพิ่ม <color=yellow>ความเร็วในการเคลื่อนที่</color> {0} โดยจะลดกลับเป็นปกติภายใน {1} วินาที,Gotta Go Fast!,ต้องไปอย่างรวดเร็ว!,Common,Fire;Mobility,,,,
Gem_C_Regeneration,Essence of Regeneration,แก่นสารแห่งการฟื้นฟู,"If this Memory is <color=yellow>cast</color> <color=yellow>in combat</color>, it <color=yellow>restores</color> your Health by 41<sprite=5> over 7 seconds.",หาก Memory นี้ถูก <color=yellow>ร่าย</color> <color=yellow>ระหว่างการต่อสู้</color> จะ <color=yellow>ฟื้นฟู</color> พลังชีวิตของคุณ 41<sprite=5> เป็นเวลา 7 วินาที,"If this Memory is <color=yellow>cast</color> <color=yellow>in combat</color>, it <color=yellow>restores</color> your Health by {0} over {1} seconds.",หากใช้ Memory นี้ <color=yellow>ในการต่อสู้</color> มันจะ<color=yellow>ฟื้นฟู</color>พลังชีวิตของคุณ {0} หน่วยเป็นเวลา {1} วินาที,,,Common,Heal,,,,
Gem_C_Responsibility,Essence of Responsibility,แก่นสารแห่งความรับผิดชอบ,"Every 10 seconds, this Memory's <color=yellow>cast</color> is <color=yellow>empowered</color>. 1.2 seconds after the <color=yellow>empowered cast</color>, it deals <sprite=2><color=#FF8A2D>400%</color><sprite=5> <color=yellow>damage</color> divided among all enemies hit by that cast.","ทุก 10 วินาที, การ<color=yellow>ร่าย</color>ของความทรงจำนี้จะ<color=yellow>เสริมพลัง</color>ให้. 1.2 วินาทีหลังจากการ<color=yellow>ร่ายเสริมพลัง</color>, มันจะสร้าง<sprite=2><color=#FF8A2D>400%</color><sprite=5> <color=yellow>ดาเมจ</color>หารเท่ากันในหมู่ศัตรูทั้งหมดที่ถูกโจมตีจากการร่ายนั้น","Every {0} seconds, this Memory's <color=yellow>cast</color> is <color=yellow>empowered</color>. {1} seconds after the <color=yellow>empowered cast</color>, it deals {2} <color=yellow>damage</color> divided among all enemies hit by that cast.",ทุก {0} วินาที การ<color=yellow>ร่าย</color>ของความทรงจำนี้จะถูก<color=yellow>เสริมพลัง</color> {1} วินาทีหลังจากการ<color=yellow>ร่ายที่เสริมพลัง</color> มันจะสร้าง<color=yellow>ความเสียหาย</color> {2} ที่แบ่งเท่าๆ กันให้แก่ศัตรูทั้งหมดที่ถูกโจมตีด้วยการร่ายนั้น,,,Common,,,,,
