Key,Name_EN,Name_TH,ShortDesc_EN,ShortDesc_TH,Desc_EN,Desc_TH,RawDesc_EN,RawDesc_TH,Lore_EN,Lore_TH,Rarity,Type,Tags,Traveler,CooldownTime,AchievementName_EN,AchievementName_TH,AchievementDesc_EN,AchievementDesc_TH
St_C_BackStep,Backstep,ถอยก่อนระเบิดทีหลัง,Retreat and drop bombs,ถอยและทิ้งระเบิด,"Leap backward and drop 3 shock bombs at the original location, each dealing <sprite=1><color=#16D7FF>168%</color><sprite=5> <color=yellow>damage</color> and <color=yellow>stunning</color> for 1 seconds.",กระโดดถอยหลังแล้วปล่อยระเบิดช็อตไฟฟ้า 3 ลูก ณ ตำแหน่งเดิม โดยแต่ละลูกสร้าง <sprite=1><color=#16D7FF>168%</color><sprite=5> <color=yellow>ดาเมจ</color> และ <color=yellow>สตั๊น</color> เป็นเวลา 1 วินาที,"Leap backward and drop {0} shock bombs at the original location, each dealing {1} <color=yellow>damage</color> and <color=yellow>stunning</color> for {2} seconds.",กระโดดถอยหลังแล้วทิ้งช็อกบอมบ์ {0} ลูกที่ตำแหน่งเดิม แต่ละลูกสร้าง <color=yellow>ความเสียหาย</color> {1} และ <color=yellow>สตัน</color> เป็นเวลา {2} วินาที,,,Common,Normal,HardCC;Mobility,,8.5,,,,
St_C_BeamOfLight,Beam of Light,ลำแสงพิฆาตดวงตา,Enemy Light damage and ally healing,สร้างความเสียหายธาตุแสงแก่ศัตรูและฟื้นฟูพลังชีวิตให้พันธมิตร,"Channels a beam at the enemy over 1.7<sprite=5> seconds, dealing <sprite=1><color=#16D7FF>507%</color><sprite=5> <color=yellow>Light damage</color> per second and <color=yellow>healing</color> the nearby ally with the lowest Health percentage by <sprite=1><color=#16D7FF>73%</color><sprite=5> per second.",ปล่อยลำแสงใส่ศัตรูเป็นเวลา 1.7<sprite=5> วินาที สร้าง <sprite=1><color=#16D7FF>507%</color><sprite=5> <color=yellow>ความเสียหายแสง</color> ต่อวินาที และ <color=yellow>ฟื้นฟู</color> พันธมิตรใกล้เคียงที่มีเปอร์เซ็นต์พลังชีวิตต่ำที่สุดด้วย <sprite=1><color=#16D7FF>73%</color><sprite=5> ต่อวินาที,"Channels a beam at the enemy over {0} seconds, dealing {1} <color=yellow>Light damage</color> per second and <color=yellow>healing</color> the nearby ally with the lowest Health percentage by {2} per second.",ปล่อยลำแสงใส่ศัตรูเป็นเวลา {0} วินาทีสร้างความเสียหาย<color=yellow>แสง</color> {1} ต่อวินาทีและ<color=yellow>ฟื้นฟูพลังชีวิต</color>ให้พันธมิตรที่อยู่ใกล้ที่สุดซึ่งมีเปอร์เซ็นต์พลังชีวิตต่ำสุด {2} ต่อวินาที,"-- Experiment Log, Year 3, Day 20 of Month 1\n-- Author: Carrier Bayonet\n-- Research Subject: Beam of Light\n\n\nSubject: Young widow. Severe burns from face to shoulders. Infected wound on cheekbone.\nResult: Cheekbone infection visibly reduced. Burns appear slightly faded.\n\nSubject: Boy. Open wounds on back from whipping.\nResult: Back wounds healing well. Boy claims his ""thieving habit"" is now ""cured"" and demands to be released.\n\nSubject: Jeff (the infamous murderer). Gunshot wounds to both ankles and wrists.\nResult: Complained of intense head pain, then a small ""pop"" sound was heard before he passed out.\nNote: Still breathing but remains unconscious.\n\n\nP.S. His Majesty King Rojit has provided 10 additional death row inmates. Much research remains on this beam, but one thing is certain: this power of dreams will save many lives.","-- บันทึกการทดลอง, ปีที่ 3, วันที่ 20 ของเดือนที่ 1\r --- ผู้บันทึก: แครี่เยอร์ เบย์โอเน็ต\n-- หัวข้องานวิจัย: ลำแสงแห่งแสง\n\n\nผู้รับการทดลอง: แม่ม่ายสาว มีแผลไหม้รุนแรงตั้งแต่ใบหน้าจนถึงไหล่ และมีบาดแผลติดเชื้อที่โหนกแก้ม\nผลลัพธ์: การติดเชื้อที่โหนกแก้มลดลงอย่างเห็นได้ชัด และรอยไหม้ดูจางลงเล็กน้อย\n\nผู้รับการทดลอง: เด็กชาย มีบาดแผลเปิดที่หลังจากการถูกเฆี่ยน\nผลลัพธ์: บาดแผลที่หลังหายดี เด็กชายอ้างว่า ""นิสัยการลักขโมย"" ของตน ""หายขาดแล้ว"" และเรียกร้องให้ปล่อยตัว\n\nผู้รับการทดลอง: เจฟฟ์(ฆาตกรชื่อกระฉ่อน)\n มีบาดแผลถูกยิงที่ข้อเท้าทั้งสองข้างและข้อมือทั้งสองข้าง\nผลลัพธ์: เขาบ่นว่าปวดหัวอย่างรุนแรง จากนั้นก็มีเสียง ""ปุ"" เล็กๆ ก่อนที่เขาจะหมดสติไป\nหมายเหตุ: ยังคงหายใจอยู่แต่ไม่รู้สึกตัว\n\n\nป.ล. ฝ่าบาทกษัตริย์โรจิทได้พระราชทานนักโทษประหารเพิ่มอีก 10 คน งานวิจัยเกี่ยวกับลำแสงนี้ยังคงมีอีกมาก แต่มีสิ่งหนึ่งที่แน่นอนคือ: พลังแห่งความฝันนี้จะช่วยชีวิตผู้คนมากมาย",Common,Normal,Light;Heal,,10,,,,
St_C_CorrosiveTrails,Corrosive Trails,ปู้ดด,Leave poisonous smoke,ปล่อยควันพิษ,"For 4 seconds, leave toxic gas in your path that <color=yellow>poisons</color> enemies for 3 seconds, while increasing your <color=yellow>Movement Speed</color> by 15%<sprite=5>. <color=yellow>Poisoned</color> enemies take <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>damage</color> per second.",เป็นเวลา 4 วินาที ปล่อยก๊าซพิษในเส้นทางของคุณซึ่งจะ<color=yellow>วางยาพิษ</color>ศัตรูเป็นเวลา 3 วินาที ขณะที่เพิ่ม<color=yellow>ความเร็วในการเคลื่อนที่</color>ของคุณ 15%<sprite=5> ศัตรูที่<color=yellow>ได้รับพิษ</color>จะได้รับ<sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>ความเสียหาย</color>ต่อวินาที,"For {0} seconds, leave toxic gas in your path that <color=yellow>poisons</color> enemies for {1} seconds, while increasing your <color=yellow>Movement Speed</color> by {2}. <color=yellow>Poisoned</color> enemies take {3} <color=yellow>damage</color> per second.",เป็นเวลา {0} วินาที ปล่อยแก๊สพิษไว้ตามทางของคุณ\nและจะ<color=yellow>วางยาพิษ</color>ศัตรูเป็นเวลา {1} วินาที \nขณะที่เพิ่ม<color=yellow>ความเร็วในการเคลื่อนที่</color>ของคุณ {2} ศัตรูที่<color=yellow>ถูกพิษ</color>จะได้รับ<color=yellow>ความเสียหาย</color> {3} ต่อวินาที,,,Common,Normal,Melee,,10,,,,
St_C_DarkBolt,Dark Bolt,กระสุนมืด,Fires an arrow that deals Dark damage,ยิงลูกศรที่สร้างความเสียหายความมืด,Fires a dark bolt that deals <sprite=2><color=#FF8A2D>175%</color><sprite=5> <color=yellow>Dark damage</color> to enemies and triggers <color=yellow>attack effects</color>. Pierces up to 2 enemies.,ยิงลูกศรแห่งความมืด สร้างความเสียหาย <sprite=2><color=#FF8A2D>175%</color><sprite=5> <color=yellow>ความมืด</color> แก่ศัตรู และทำให้เกิด <color=yellow>ผลกระทบจากการโจมตี</color> ทะลุทะลวงศัตรูได้สูงสุด 2 ตัว,Fires a dark bolt that deals {0} <color=yellow>Dark damage</color> to enemies and triggers <color=yellow>attack effects</color>. Pierces up to {1} enemies.,ยิงลูกศรแห่งความมืดที่สร้างความเสียหาย <color=yellow>ความมืด</color> {0} แก่ศัตรู และทำให้เกิด <color=yellow>เอฟเฟกต์โจมตี</color> ทะลุทะลวงศัตรูได้สูงสุด {1} ตัว,,,Common,Normal,Dark;Attack,,4.5,,,,
St_C_DarkSpear,Dark Spear,หอกมืด,Close-range Dark damage,ความเสียหายความมืดระยะประชิด,"Pierces enemies in front, dealing <sprite=2><color=#FF8A2D>210%</color><sprite=5> <color=yellow>Dark damage</color>, triggering <color=yellow>attack effects</color>, and pulling them to the center.",แทงทะลุศัตรูที่อยู่ด้านหน้า สร้างความเสียหาย <sprite=2><color=#FF8A2D>210%</color><sprite=5> <color=yellow>ความมืด</color> ทำให้เกิด <color=yellow>ผลของการโจมตี</color> และดึงพวกมันมายังจุดศูนย์กลาง,"Pierces enemies in front, dealing {0} <color=yellow>Dark damage</color>, triggering <color=yellow>attack effects</color>, and pulling them to the center.",ทะลวงศัตรูที่อยู่ด้านหน้า สร้าง<color=yellow>ความเสียหายความมืด</color> {0} \nและกระตุ้น<color=yellow>ผลการโจมตี</color> พร้อมดึงศัตรูเข้าสู่ศูนย์กลาง,,,Common,Normal,Dark;Melee;HardCC;Attack,,5,,,,
St_C_FlashFreeze,Flash Freeze,ฝ่ามือเยือกแข็ง,"Area Cold Damage, Root","สร้างความเสียหายจากความเย็นแบบวงกว้าง, ติดสถานะรูท","Unleashes Cold energy forward, dealing <sprite=1><color=#16D7FF>130%</color><sprite=5> <color=yellow>Cold Damage</color> to enemies and granting yourself and allies a <color=yellow>Shield</color> of <sprite=1><color=#16D7FF>90%</color><sprite=5> that lasts for 3 seconds. If an enemy is already affected by <color=yellow>Cold</color>, the <color=yellow>Damage</color> is increased by 100% and they are <color=yellow>Rooted</color> for 1.5 seconds.\n\n<color=yellow>Charges</color> are fully replenished all at once.",ปล่อยพลังงานน้ำแข็งไปข้างหน้า สร้าง <sprite=1><color=#16D7FF>130%</color><sprite=5> <color=yellow>ความเสียหายน้ำแข็ง</color> แก่ศัตรู และมอบ <color=yellow>โล่</color> ให้ตนเองและพันธมิตร <sprite=1><color=#16D7FF>90%</color><sprite=5> นาน 3 วินาที หากศัตรูถูกผลของ <color=yellow>น้ำแข็ง</color> อยู่ก่อนแล้ว <color=yellow>ความเสียหาย</color> จะเพิ่มขึ้น 100% และศัตรูจะถูก <color=yellow>ตรึง</color> 1.5 วินาที\n\n<color=yellow>ชาร์จ</color> จะถูกฟื้นฟูทั้งหมดพร้อมกัน,"Unleashes Cold energy forward, dealing {0} <color=yellow>Cold Damage</color> to enemies and granting yourself and allies a <color=yellow>Shield</color> of {1} that lasts for {2} seconds. If an enemy is already affected by <color=yellow>Cold</color>, the <color=yellow>Damage</color> is increased by {3} and they are <color=yellow>Rooted</color> for {4} seconds.\n\n<color=yellow>Charges</color> are fully replenished all at once.",ปลดปล่อยพลังงานเยือกแข็งไปข้างหน้า สร้าง <color=yellow>ความเสียหายเยือกแข็ง</color> {0} แก่ศัตรู และมอบ <color=yellow>โล่</color> {1} ให้แก่ตนเองและพันธมิตรเป็นเวลา {2} วินาที หากศัตรูได้รับผลกระทบจาก <color=yellow>เยือกแข็ง</color> อยู่แล้ว <color=yellow>ความเสียหาย</color> จะเพิ่มขึ้น {3} และพวกเขาจะถูก <color=yellow>ตรึง</color> เป็นเวลา {4} วินาที\n\n<color=yellow>ชาร์จ</color> จะถูกเติมให้เต็มพร้อมกันทั้งหมด,,,Common,Normal,Cold;Melee;HardCC;Shield,,9,,,,
St_C_GlacialStomp,Glacial Stomp,กระทืบพสุธา,"Area Cold damage, Barrier","ความเสียหายความเย็นแบบวงกว้าง, บาเรีย","Stomps the ground around you, stunning enemies for 1.5 seconds and dealing <sprite=1><color=#16D7FF>230%</color><sprite=5> <color=yellow>Cold damage</color>. Gain a Barrier that lasts for 3 seconds and absorbs <sprite=1><color=#16D7FF>60%</color><sprite=5> damage for each enemy hit.",กระทืบพื้นรอบตัวคุณ ทำให้ศัตรูมึนงงเป็นเวลา 1.5 วินาที และสร้างความเสียหาย <sprite=1><color=#16D7FF>230%</color><sprite=5> <color=yellow>ความเสียหายน้ำแข็ง</color> ได้รับบาเรียที่คงอยู่ 3 วินาที และดูดซับความเสียหาย <sprite=1><color=#16D7FF>60%</color><sprite=5> ต่อศัตรูแต่ละตัวที่ถูกโจมตี,"Stomps the ground around you, stunning enemies for {0} seconds and dealing {1} <color=yellow>Cold damage</color>. Gain a Barrier that lasts for {2} seconds and absorbs {3} damage for each enemy hit.","กระทืบพื้นรอบตัวคุณ, ทำให้ศัตรูมึนงงเป็นเวลา {0} วินาที และสร้าง {1} <color=yellow>ความเสียหายธาตุน้ำแข็ง</color> ได้รับบาเรียที่คงอยู่เป็นเวลา {2} วินาที และดูดซับ {3} ความเสียหายสำหรับศัตรูแต่ละตัวที่โดน",,,Common,Normal,Cold;Melee;HardCC;Shield,,8,,,,
St_C_Hemorrhage,Hemorrhage,เลือดแข็งตัว,Empowers next attack to deal damage over time,เสริมพลังโจมตีครั้งถัดไปให้สร้างความเสียหายต่อเนื่อง,Your next attack deals <sprite=1><color=#16D7FF>460%</color><sprite=5> <color=yellow>damage</color> over 1.2<sprite=5> seconds and reduces the target's <color=yellow>Movement Speed</color> by 70%.,การโจมตีครั้งต่อไปของคุณจะสร้าง <sprite=1><color=#16D7FF>460%</color><sprite=5> <color=yellow>ความเสียหาย</color> เป็นเวลา 1.2<sprite=5> วินาที และลด <color=yellow>ความเร็วในการเคลื่อนที่</color> ของเป้าหมายลง 70%,Your next attack deals {0} <color=yellow>damage</color> over {1} seconds and reduces the target's <color=yellow>Movement Speed</color> by {2}.,การโจมตีครั้งต่อไปของคุณจะสร้าง <color=yellow>ความเสียหาย</color> {0} หน่วย เป็นเวลา {1} วินาที และลด <color=yellow>ความเร็วในการเคลื่อนที่</color> ของเป้าหมายลง {2},,,Common,Normal,Attack,,4.5,,,,
St_C_IceBlock,Ice Shield,เกราะน้ำแข็ง,"Close-range Cold damage, ally Barrier, healing","สร้างความเสียหายธาตุน้ำแข็งระยะใกล้, สร้างบาเรียให้พันธมิตร, และฟื้นฟูพลังชีวิต","Surrounds an ally with an ice shield, granting a <sprite=1><color=#16D7FF>130%</color><sprite=5> Barrier that lasts for 3 seconds. When the Barrier is destroyed, it deals <sprite=1><color=#16D7FF>160%</color><sprite=5> <color=yellow>Cold damage</color> to nearby enemies and <color=yellow>restores</color> <sprite=1><color=#16D7FF>60%</color><sprite=5> Health to the ally for each enemy hit.",สร้างโล่น้ำแข็งล้อมรอบพันธมิตร มอบ <sprite=1><color=#16D7FF>130%</color><sprite=5> เกราะกำบัง ที่คงอยู่ 3 วินาที เมื่อเกราะกำบังถูกทำลาย จะสร้าง <sprite=1><color=#16D7FF>160%</color><sprite=5> <color=yellow>ความเสียหายน้ำแข็ง</color> แก่ศัตรูใกล้เคียง และ <color=yellow>ฟื้นฟู</color> <sprite=1><color=#16D7FF>60%</color><sprite=5> พลังชีวิต แก่พันธมิตรตามจำนวนศัตรูที่โดนโจมตี,"Surrounds an ally with an ice shield, granting a {0} Barrier that lasts for {1} seconds. When the Barrier is destroyed, it deals {2} <color=yellow>Cold damage</color> to nearby enemies and <color=yellow>restores</color> {3} Health to the ally for each enemy hit.",สร้างโล่น้ำแข็งล้อมรอบพันธมิตร มอบบาเรีย {0} ที่คงอยู่เป็นเวลา {1} วินาที เมื่อบาเรียถูกทำลาย จะสร้าง<color=yellow>ความเสียหายเย็น</color> {2} ให้แก่ศัตรูที่อยู่ใกล้เคียง และ<color=yellow>ฟื้นฟู</color> {3} พลังชีวิตให้แก่พันธมิตรตามจำนวนศัตรูที่ถูกโจมตี\n,,,Common,Normal,Cold;HardCC;Heal;Shield,,6,,,,
St_C_IceClaw,Ice Claw,กรงเล็บเหมันต์,"Close-range Cold damage, Health restore",สร้างความเสียหายน้ำแข็งระยะใกล้ ฟื้นฟูพลังชีวิต,"Swing your claw forward to deal <sprite=1><color=#16D7FF>140%</color><sprite=5> <color=yellow>Cold Damage</color> to enemies and <color=yellow>stun</color> them for 0.5 seconds. You can swing once more to deal <sprite=1><color=#16D7FF>264%</color><sprite=5> <color=yellow>Cold Damage</color> and <color=yellow>stun</color> for 1 seconds.\n\nWhen your claw hits an enemy, <color=yellow>restore</color> 12% <color=yellow>Health</color> based on the damage dealt.",เหวี่ยงกรงเล็บไปด้านหน้าเพื่อสร้าง <sprite=1><color=#16D7FF>140%</color><sprite=5> <color=yellow>ความเสียหายธาตุน้ำแข็ง</color> แก่ศัตรู และ <color=yellow>สตัน</color> เป็นเวลา 0.5 วินาที คุณสามารถเหวี่ยงได้อีกครั้งเพื่อสร้าง <sprite=1><color=#16D7FF>264%</color><sprite=5> <color=yellow>ความเสียหายธาตุน้ำแข็ง</color> และ <color=yellow>สตัน</color> เป็นเวลา 1 วินาที\n\nเมื่อกรงเล็บของคุณโจมตีศัตรูสำเร็จ จะ <color=yellow>ฟื้นฟู</color> 12% ของ <color=yellow>พลังชีวิต</color> ตามความเสียหายที่สร้างได้,"Swing your claw forward to deal {0} <color=yellow>Cold Damage</color> to enemies and <color=yellow>stun</color> them for {1} seconds. You can swing once more to deal {2} <color=yellow>Cold Damage</color> and <color=yellow>stun</color> for {3} seconds.\n\nWhen your claw hits an enemy, <color=yellow>restore</color> {4} <color=yellow>Health</color> based on the damage dealt.",เหวี่ยงกรงเล็บไปข้างหน้าเพื่อสร้าง <color=yellow>ความเสียหายน้ำแข็ง</color> {0} แก่ศัตรู และ <color=yellow>สตัน</color> เป็นเวลา {1} วินาที คุณสามารถเหวี่ยงได้อีกครั้งเพื่อสร้าง <color=yellow>ความเสียหายน้ำแข็ง</color> {2} และ <color=yellow>สตัน</color> เป็นเวลา {3} วินาที\n\nเมื่อกรงเล็บโจมตีศัตรู จะ <color=yellow>ฟื้นฟู</color> <color=yellow>พลังชีวิต</color> {4} ตามความเสียหายที่ทำได้,,,Common,Normal,Cold;Melee;HardCC;Heal,,7,,,,
