Key,Name_EN,Name_TH,ShortDesc_EN,ShortDesc_TH,Desc_EN,Desc_TH,RawDesc_EN,RawDesc_TH,Lore_EN,Lore_TH,Rarity,Type,Tags,Traveler,CooldownTime,AchievementName_EN,AchievementName_TH,AchievementDesc_EN,AchievementDesc_TH
St_C_BackStep,Backstep,,Retreat and drop bombs,,"Leap backward and drop 3 shock bombs at the original location, each dealing <sprite=1><color=#16D7FF>168%</color><sprite=5> <color=yellow>damage</color> and <color=yellow>stunning</color> for 1 seconds.",,"Leap backward and drop {0} shock bombs at the original location, each dealing {1} <color=yellow>damage</color> and <color=yellow>stunning</color> for {2} seconds.",,,,Common,Normal,HardCC;Mobility,,8.5,,,,
St_C_BeamOfLight,Beam of Light,,Enemy Light damage and ally healing,,"Channels a beam at the enemy over 1.7<sprite=5> seconds, dealing <sprite=1><color=#16D7FF>507%</color><sprite=5> <color=yellow>Light damage</color> per second and <color=yellow>healing</color> the nearby ally with the lowest Health percentage by <sprite=1><color=#16D7FF>73%</color><sprite=5> per second.",,"Channels a beam at the enemy over {0} seconds, dealing {1} <color=yellow>Light damage</color> per second and <color=yellow>healing</color> the nearby ally with the lowest Health percentage by {2} per second.",,"-- Experiment Log, Year 3, Day 20 of Month 1\n-- Author: Carrier Bayonet\n-- Research Subject: Beam of Light\n\n\nSubject: Young widow. Severe burns from face to shoulders. Infected wound on cheekbone.\nResult: Cheekbone infection visibly reduced. Burns appear slightly faded.\n\nSubject: Boy. Open wounds on back from whipping.\nResult: Back wounds healing well. Boy claims his ""thieving habit"" is now ""cured"" and demands to be released.\n\nSubject: Jeff (the infamous murderer). Gunshot wounds to both ankles and wrists.\nResult: Complained of intense head pain, then a small ""pop"" sound was heard before he passed out.\nNote: Still breathing but remains unconscious.\n\n\nP.S. His Majesty King Rojit has provided 10 additional death row inmates. Much research remains on this beam, but one thing is certain: this power of dreams will save many lives.",,Common,Normal,Light;Heal,,10.0,,,,
St_C_CorrosiveTrails,Corrosive Trails,,Leave poisonous smoke,,"For 4 seconds, leave toxic gas in your path that <color=yellow>poisons</color> enemies for 3 seconds, while increasing your <color=yellow>Movement Speed</color> by 15%<sprite=5>. <color=yellow>Poisoned</color> enemies take <sprite=1><color=#16D7FF>100%</color><sprite=5> <color=yellow>damage</color> per second.",,"For {0} seconds, leave toxic gas in your path that <color=yellow>poisons</color> enemies for {1} seconds, while increasing your <color=yellow>Movement Speed</color> by {2}. <color=yellow>Poisoned</color> enemies take {3} <color=yellow>damage</color> per second.",,,,Common,Normal,Melee,,10.0,,,,
St_C_DarkBolt,Dark Bolt,,Fires an arrow that deals Dark damage,,Fires a dark bolt that deals <sprite=2><color=#FF8A2D>175%</color><sprite=5> <color=yellow>Dark damage</color> to enemies and triggers <color=yellow>attack effects</color>. Pierces up to 2 enemies.,,Fires a dark bolt that deals {0} <color=yellow>Dark damage</color> to enemies and triggers <color=yellow>attack effects</color>. Pierces up to {1} enemies.,,,,Common,Normal,Dark;Attack,,4.5,,,,
St_C_DarkSpear,Dark Spear,,Close-range Dark damage,,"Pierces enemies in front, dealing <sprite=2><color=#FF8A2D>210%</color><sprite=5> <color=yellow>Dark damage</color>, triggering <color=yellow>attack effects</color>, and pulling them to the center.",,"Pierces enemies in front, dealing {0} <color=yellow>Dark damage</color>, triggering <color=yellow>attack effects</color>, and pulling them to the center.",,,,Common,Normal,Dark;Melee;HardCC;Attack,,5.0,,,,
St_C_FlashFreeze,Flash Freeze,,"Area Cold Damage, Root",,"Unleashes Cold energy forward, dealing <sprite=1><color=#16D7FF>130%</color><sprite=5> <color=yellow>Cold Damage</color> to enemies and granting yourself and allies a <color=yellow>Shield</color> of <sprite=1><color=#16D7FF>90%</color><sprite=5> that lasts for 3 seconds. If an enemy is already affected by <color=yellow>Cold</color>, the <color=yellow>Damage</color> is increased by 100% and they are <color=yellow>Rooted</color> for 1.5 seconds.\n\n<color=yellow>Charges</color> are fully replenished all at once.",,"Unleashes Cold energy forward, dealing {0} <color=yellow>Cold Damage</color> to enemies and granting yourself and allies a <color=yellow>Shield</color> of {1} that lasts for {2} seconds. If an enemy is already affected by <color=yellow>Cold</color>, the <color=yellow>Damage</color> is increased by {3} and they are <color=yellow>Rooted</color> for {4} seconds.\n\n<color=yellow>Charges</color> are fully replenished all at once.",,,,Common,Normal,Cold;Melee;HardCC;Shield,,9.0,,,,
St_C_GlacialStomp,Glacial Stomp,,"Area Cold damage, Barrier",,"Stomps the ground around you, stunning enemies for 1.5 seconds and dealing <sprite=1><color=#16D7FF>230%</color><sprite=5> <color=yellow>Cold damage</color>. Gain a Barrier that lasts for 3 seconds and absorbs <sprite=1><color=#16D7FF>60%</color><sprite=5> damage for each enemy hit.",,"Stomps the ground around you, stunning enemies for {0} seconds and dealing {1} <color=yellow>Cold damage</color>. Gain a Barrier that lasts for {2} seconds and absorbs {3} damage for each enemy hit.",,,,Common,Normal,Cold;Melee;HardCC;Shield,,8.0,,,,
St_C_Hemorrhage,Hemorrhage,,Empowers next attack to deal damage over time,,Your next attack deals <sprite=1><color=#16D7FF>460%</color><sprite=5> <color=yellow>damage</color> over 1.2<sprite=5> seconds and reduces the target's <color=yellow>Movement Speed</color> by 70%.,,Your next attack deals {0} <color=yellow>damage</color> over {1} seconds and reduces the target's <color=yellow>Movement Speed</color> by {2}.,,,,Common,Normal,Attack,,4.5,,,,
St_C_IceBlock,Ice Shield,,"Close-range Cold damage, ally Barrier, healing",,"Surrounds an ally with an ice shield, granting a <sprite=1><color=#16D7FF>130%</color><sprite=5> Barrier that lasts for 3 seconds. When the Barrier is destroyed, it deals <sprite=1><color=#16D7FF>160%</color><sprite=5> <color=yellow>Cold damage</color> to nearby enemies and <color=yellow>restores</color> <sprite=1><color=#16D7FF>60%</color><sprite=5> Health to the ally for each enemy hit.",,"Surrounds an ally with an ice shield, granting a {0} Barrier that lasts for {1} seconds. When the Barrier is destroyed, it deals {2} <color=yellow>Cold damage</color> to nearby enemies and <color=yellow>restores</color> {3} Health to the ally for each enemy hit.",,,,Common,Normal,Cold;HardCC;Heal;Shield,,6.0,,,,
St_C_IceClaw,Ice Claw,,"Close-range Cold damage, Health restore",,"Swing your claw forward to deal <sprite=1><color=#16D7FF>140%</color><sprite=5> <color=yellow>Cold Damage</color> to enemies and <color=yellow>stun</color> them for 0.5 seconds. You can swing once more to deal <sprite=1><color=#16D7FF>264%</color><sprite=5> <color=yellow>Cold Damage</color> and <color=yellow>stun</color> for 1 seconds.\n\nWhen your claw hits an enemy, <color=yellow>restore</color> 12% <color=yellow>Health</color> based on the damage dealt.",,"Swing your claw forward to deal {0} <color=yellow>Cold Damage</color> to enemies and <color=yellow>stun</color> them for {1} seconds. You can swing once more to deal {2} <color=yellow>Cold Damage</color> and <color=yellow>stun</color> for {3} seconds.\n\nWhen your claw hits an enemy, <color=yellow>restore</color> {4} <color=yellow>Health</color> based on the damage dealt.",,,,Common,Normal,Cold;Melee;HardCC;Heal,,7.0,,,,
