Key,Name_EN,Name_TH,Desc_EN,Desc_TH,RawDesc_EN,RawDesc_TH,Lore_EN,Lore_TH,Category,HeroType,MaxLevel
Se_Star_D_AbilityPower,Night Time,ยามรัตติกาล,Increases <color=yellow>Ability Power</color> by 2<sprite=5>.,เพิ่ม <color=yellow>พลังโจมตี</color> ด้วยความสามารถ 2<sprite=5>,Increases <color=yellow>Ability Power</color> by {0}.,เพิ่ม <color=yellow>พลังโจมตีสกิล</color> เป็น {0},,,Destruction,,4
Se_Star_D_AttackDamage,Aggressive Stance,ตั้งท่าจู่โจม,Increases <color=yellow>Attack Damage</color> by 2<sprite=5>.,เพิ่ม <color=yellow>พลังโจมตี</color> ขึ้น 2<sprite=5>,Increases <color=yellow>Attack Damage</color> by {0}.,เพิ่ม <color=yellow>ความเสียหายจากการโจมตี</color> ขึ้น {0},,,Destruction,,4
Se_Star_D_AttackSpeed,Hurricane,เฮอริเคน,Increases <color=yellow>Attack Speed</color> by 6%<sprite=5>.,เพิ่ม <color=yellow>ความเร็วโจมตี</color> 6%<sprite=5>,Increases <color=yellow>Attack Speed</color> by {0}.,เพิ่ม <color=yellow>ความเร็วโจมตี</color> ขึ้น {0},,,Destruction,,4
Se_Star_D_BossDamageAmp,Valiant Challenger,ผู้ท้าชิงใจสิงห์,Increases all damage dealt to <color=yellow>Bosses</color> by 10%<sprite=5>.,เพิ่มความเสียหายทั้งหมดที่ทำกับ <color=yellow>บอส</color> ขึ้น 10%<sprite=5>,Increases all damage dealt to <color=yellow>Bosses</color> by {0}.,เพิ่มความเสียหายทั้งหมดที่ทำต่อ <color=yellow>บอส</color> ขึ้น {0},,,Destruction,,4
Se_Star_D_CritChance,Lucky Clover,ใบโคลเวอร์นำโชค,Increases <color=yellow>Critical Strike Chance</color> by 5%<sprite=5>.,เพิ่ม <color=yellow>โอกาสคริติคอล</color> 5%<sprite=5>,Increases <color=yellow>Critical Strike Chance</color> by {0}.,เพิ่มโอกาส <color=yellow>คริติคอลสไตรค์</color> ขึ้น {0},,,Destruction,,5
Se_Star_D_CritDamage,Powerful Blow,การโจมตีหนักหน่วง,Increases <color=yellow>Critical Strike Damage</color> by 15%<sprite=5>.,เพิ่ม <color=yellow>ความเสียหายคริติคอล</color> 15%<sprite=5>,Increases <color=yellow>Critical Strike Damage</color> by {0}.,เพิ่ม <color=yellow>ความเสียหายคริติคอล</color> ขึ้น {0},,,Destruction,,4
Se_Star_D_DamageBonusOnAllElemental,Elementalist,นักเวทธาตุ,All damage you deal to enemies affected by <color=yellow>all 4 elements</color> is increased by 18%<sprite=5>.,ความเสียหายทั้งหมดที่คุณสร้างแก่ศัตรูที่ได้รับผลกระทบจาก <color=yellow>ธาตุทั้ง 4</color> จะเพิ่มขึ้น 18%<sprite=5>,All damage you deal to enemies affected by <color=yellow>all 4 elements</color> is increased by {0}.,ความเสียหายทั้งหมดที่คุณสร้างกับศัตรูที่ได้รับผลกระทบจาก <color=yellow>ธาตุทั้ง 4</color> เพิ่มขึ้น {0},,,Destruction,,4
Se_Star_D_DarkAmp,Corrupted Mind,จิตวิปลาส,Your <color=yellow>Dark damage</color> against enemies exposed to <color=yellow>Dark</color> is increased by an additional 1.5%<sprite=5> per stack.,<color=yellow>ความเสียหายธาตุความมืด</color>ของคุณต่อศัตรูที่ได้รับผลจาก<color=yellow>ความมืด</color>จะเพิ่มขึ้นอีก 1.5%<sprite=5> ต่อสแต็ก,Your <color=yellow>Dark damage</color> against enemies exposed to <color=yellow>Dark</color> is increased by an additional {0} per stack.,<color=yellow>ความเสียหายความมืด</color>ของคุณที่มีต่อศัตรูที่สัมผัสกับ<color=yellow>ความมืด</color>จะเพิ่มขึ้นอีก {0} ต่อสแต็ค,,,Destruction,,4
Se_Star_D_FireAmp,Crimson Flame,เพลิงสีชาด,Increase <color=yellow>Burn damage</color> by 30%<sprite=5>.,เพิ่มความเสียหาย <color=yellow>เผาไหม้</color> ขึ้น 30%<sprite=5>,Increase <color=yellow>Burn damage</color> by {0}.,เพิ่มความเสียหายจากการ<color=yellow>เผาไหม้</color> {0},,,Destruction,,4
Se_Star_D_LightAmp,Daylight,ยามทิวา,Your <color=yellow>Light damage</color> against enemies exposed to <color=yellow>Light</color> is increased by an additional 1.5%<sprite=5> per stack.,ความเสียหาย <color=yellow>แสงสว่าง</color> ของคุณต่อศัตรูที่ได้รับผลกระทบจาก <color=yellow>แสงสว่าง</color> จะเพิ่มขึ้นอีก 1.5%<sprite=5> ต่อหนึ่งสแต็ก,Your <color=yellow>Light damage</color> against enemies exposed to <color=yellow>Light</color> is increased by an additional {0} per stack.,ความเสียหาย<color=yellow>แสง</color>ของคุณที่ทำต่อศัตรูที่ได้รับ<color=yellow>แสง</color>จะเพิ่มขึ้นอีก {0} ต่อสแต็ก,,,Destruction,,4
